Tanggal,RH_avg
03-08-2011,77
04-08-2011,84
05-08-2011,80
06-08-2011,80
07-08-2011,81
08-08-2011,91
09-08-2011,84
10-08-2011,81
11-08-2011,85
12-08-2011,81
13-08-2011,82
14-08-2011,91
15-08-2011,83
16-08-2011,84
17-08-2011,85
18-08-2011,88
19-08-2011,79
20-08-2011,84
21-08-2011,81
22-08-2011,85
23-08-2011,82
24-08-2011,81
25-08-2011,82
26-08-2011,87
27-08-2011,87
28-08-2011,84
29-08-2011,76
30-08-2011,79
31-08-2011,82
01-09-2011,78
02-09-2011,82
03-09-2011,82
04-09-2011,77
05-09-2011,78
06-09-2011,82
07-09-2011,82
08-09-2011,79
09-09-2011,80
10-09-2011,81
11-09-2011,79
12-09-2011,86
13-09-2011,80
14-09-2011,82
15-09-2011,82
16-09-2011,80
17-09-2011,84
18-09-2011,80
19-09-2011,84
20-09-2011,81
21-09-2011,80
22-09-2011,78
23-09-2011,79
24-09-2011,80
25-09-2011,78
26-09-2011,80
27-09-2011,76
28-09-2011,83
29-09-2011,78
30-09-2011,81
01-10-2011,83
02-10-2011,80
03-10-2011,87
04-10-2011,83
05-10-2011,85
06-10-2011,83
07-10-2011,81
08-10-2011,87
09-10-2011,88
10-10-2011,82
11-10-2011,78
12-10-2011,78
13-10-2011,82
14-10-2011,84
15-10-2011,85
16-10-2011,82
17-10-2011,82
18-10-2011,88
19-10-2011,84
20-10-2011,83
21-10-2011,85
22-10-2011,82
23-10-2011,80
24-10-2011,85
25-10-2011,87
26-10-2011,80
27-10-2011,79
28-10-2011,77
29-10-2011,82
30-10-2011,81
31-10-2011,86
01-11-2011,85
02-11-2011,83
03-11-2011,86
04-11-2011,86
05-11-2011,84
06-11-2011,86
07-11-2011,79
08-11-2011,80
09-11-2011,82
10-11-2011,80
11-11-2011,80
12-11-2011,85
13-11-2011,86
14-11-2011,87
15-11-2011,79
16-11-2011,83
17-11-2011,80
18-11-2011,82
19-11-2011,90
20-11-2011,82
21-11-2011,86
22-11-2011,82
23-11-2011,83
